group,n,pos,pos_rate,AUROC,AUROC_lo,AUROC_hi,Brier,Brier_lo,Brier_hi,ECE,ECE_lo,ECE_hi,Se@Sp90,Se@Sp90_lo,Se@Sp90_hi,Sp@0.5,Sp@0.5_lo,Sp@0.5_hi
内部：PTB-XL（德国12导）,714,365,0.511204481792717,0.9744004396121992,0.9640126460606876,0.9831996327418978,0.06926625029067085,0.05365674408798001,0.08692392277995503,0.06492377501034115,0.05050333100456793,0.0865657401351279,0.9452054794520548,0.8991477486564198,0.9737774263469875,0.8796561604584527,0.8445699206436401,0.9104080869452805
外部1：CinC2017 全部（A vs 非A）,2537,758,0.29877808435159636,0.8854964322845984,0.8722614429810711,0.8974294175020727,0.22073452088716689,0.20539385554666464,0.23676043407825464,0.22539846302004635,0.2103888921531932,0.2431465955104421,0.5857519788918206,0.5220541430400585,0.6428667953667954,0.671725688589095,0.648645997454854,0.6944409736463092
外部2：CPSC2021（中国，30秒窗）,583,280,0.48027444253859347,0.9461456859971712,0.886116776010302,0.990541016409077,0.12808368301594636,0.03675489744200235,0.2474089380721721,0.1432596905823706,0.0452341092069806,0.2678741889574192,0.8714285714285714,0.5509241365802703,1.0,0.7293729372937293,0.5184807256235827,0.9075221203216327
外部1a：仅 A vs N,1758,758,0.4311717861205916,0.9475026385224274,0.9371311984553363,0.957814541892399,0.10400691112687445,0.09135965529174186,0.11741797721688524,0.0982896067653228,0.08446255142204392,0.11316281696245363,0.8905013192612137,0.8450085159583625,0.9203832258978537,0.833,0.8093811612249506,0.8552719220521907
外部1b：A vs O（其他节律）,1258,758,0.6025437201907791,0.9039445910290238,0.885294538860691,0.92158652514444,0.15278273185162572,0.13544924512883463,0.17123621440738368,0.14647649327049753,0.12888267374304876,0.16847057559422973,0.7348284960422163,0.6519354462705704,0.8078179027881122,0.638,0.5956141552884969,0.6795443099790925
外部1c：A vs 噪声(~),1037,758,0.7309546769527483,0.6301907490944856,0.5936616665549395,0.6726251274486305,0.2488053924221239,0.22321382114050564,0.27503347211073365,0.24095023218464134,0.21643040589989276,0.2711712864390731,0.1662269129287599,0.1205270274955792,0.24235195094297882,0.15412186379928317,0.11277139477908253,0.19853071547768042
