domain,n,pos,auroc,auprc,brier,ece,ece_eq,mean_pred,observed,se_at_sp90
内部：PTB-XL（德国 12 导联）,714,365,0.9744004396121992,0.9719696407972803,0.06926625029067085,0.06492377501034115,0.05141888053895567,0.5490934322434173,0.511204481792717,0.9452054794520548
外部 1：CinC2017（消费级单导联）,2537,758,0.8854964322845984,0.7014840940249617,0.22073452088716689,0.22539846302004635,0.22649445419102804,0.5144991007405538,0.29877808435159636,0.5857519788918206
外部 2：CPSC2021（中国动态 ECG）,583,280,0.9461456859971712,0.8917921375185827,0.12808368301594636,0.1432596905823706,0.14325969058237062,0.6235341331209642,0.48027444253859347,0.8714285714285714
