group,n,AUROC,AUROC_lo,AUROC_hi,Se@Sp90,Se@Sp90_lo,Se@Sp90_hi,Brier,Sp@0.5
PTB-XL 内部 · 性别=0,390,0.9775913311064937,0.9646107978339701,0.9887992975043278,0.949238578680203,0.8737076648841354,0.9894764254385965,0.06657249272546407,0.8808290155440415
PTB-XL 内部 · 性别=1,324,0.9706959706959707,0.9508995506894943,0.9858687055971581,0.9345238095238095,0.8742325589784287,0.9844899496564141,0.07250873624879012,0.8782051282051282
PTB-XL 内部 · 年龄段=50-64,163,0.9938253012048193,0.9839655156366345,0.9995125118783654,1.0,0.9509558823529412,1.0,0.029123728115662325,0.95
PTB-XL 内部 · 年龄段=65-74,210,0.9762727272727273,0.9584767629907515,0.989729478532477,0.9272727272727272,0.8410934579439252,0.9813127379716164,0.07540007239277992,0.88
PTB-XL 内部 · 年龄段=75+,272,0.9620917153363616,0.9380877711878378,0.9822654543361848,0.927536231884058,0.7810039261225393,0.992595296025953,0.0747867187513886,0.8507462686567164
中国域 · paroxysmalAF,103,0.9947916666666667,0.9882491186839013,1.0,1.0,0.9743589743589743,1.0,0.029395767481791447,0.9230769230769231
