domain,n,pos,auroc,auprc,brier,ece,ece_eq,mean_pred,observed,se_at_sp90
内部：PTB-XL（德国 12 导联）,714,365,0.9745181928798525,0.9713752780428665,0.06880024798165243,0.06317775425345704,0.05066797916031291,0.5511642538292929,0.511204481792717,0.9397260273972603
外部 1：CinC2017（消费级单导联）,2537,758,0.8879584599571965,0.7152630553597152,0.22413220968620998,0.22877234445849992,0.22996122873156816,0.5181198069542291,0.29877808435159636,0.5963060686015831
外部 2：CPSC2021（中国动态 ECG）,583,280,0.9465464403583216,0.8922107206105935,0.13208735301247884,0.15014642674427672,0.15014642674427672,0.6304208692828701,0.48027444253859347,0.8607142857142858
